Using Softmax Classification

('Epoch:', '0001', 'cost=', '1.174406642')
('Epoch:', '0002', 'cost=', '0.662025159')
('Epoch:', '0003', 'cost=', '0.550575968')
('Epoch:', '0004', 'cost=', '0.496692166')
('Epoch:', '0005', 'cost=', '0.463712050')
('Epoch:', '0006', 'cost=', '0.440924806')
('Epoch:', '0007', 'cost=', '0.423972633')
('Epoch:', '0008', 'cost=', '0.410605894')
('Epoch:', '0009', 'cost=', '0.399915986')
('Epoch:', '0010', 'cost=', '0.390904905')
('Epoch:', '0011', 'cost=', '0.383355307')
('Epoch:', '0012', 'cost=', '0.376730237')
('Epoch:', '0013', 'cost=', '0.370986022')
('Epoch:', '0014', 'cost=', '0.365935693')
('Epoch:', '0015', 'cost=', '0.361365601')
('Epoch:', '0016', 'cost=', '0.357248616')
('Epoch:', '0017', 'cost=', '0.353581074')
('Epoch:', '0018', 'cost=', '0.350148587')
('Epoch:', '0019', 'cost=', '0.347045088')
('Epoch:', '0020', 'cost=', '0.344135380')
('Epoch:', '0021', 'cost=', '0.341484608')
('Epoch:', '0022', 'cost=', '0.338963546')
('Epoch:', '0023', 'cost=', '0.336651373')
('Epoch:', '0024', 'cost=', '0.334467016')
('Epoch:', '0025', 'cost=', '0.332469138')
Optimization Finished!
('Accuracy:', 0.91430008)

Using NN(ReLU) model

('Epoch:', '0001', 'cost=', '43.822467111')
('Epoch:', '0002', 'cost=', '6.807114316')
('Epoch:', '0003', 'cost=', '3.283662366')
('Epoch:', '0004', 'cost=', '1.853712111')
('Epoch:', '0005', 'cost=', '1.397707937')
('Epoch:', '0006', 'cost=', '0.972831238')
('Epoch:', '0007', 'cost=', '0.796861938')
('Epoch:', '0008', 'cost=', '0.736383631')
('Epoch:', '0009', 'cost=', '0.609384725')
('Epoch:', '0010', 'cost=', '0.561603607')
('Epoch:', '0011', 'cost=', '0.451103243')
('Epoch:', '0012', 'cost=', '0.356917191')
('Epoch:', '0013', 'cost=', '0.370694456')
('Epoch:', '0014', 'cost=', '0.299928494')
('Epoch:', '0015', 'cost=', '0.286026257')
('Epoch:', '0016', 'cost=', '0.260872496')
('Epoch:', '0017', 'cost=', '0.232737517')
('Epoch:', '0018', 'cost=', '0.200582298')
('Epoch:', '0019', 'cost=', '0.181431937')
('Epoch:', '0020', 'cost=', '0.213663595')
('Epoch:', '0021', 'cost=', '0.136914137')
('Epoch:', '0022', 'cost=', '0.116393382')
('Epoch:', '0023', 'cost=', '0.137901515')
('Epoch:', '0024', 'cost=', '0.112241610')
('Epoch:', '0025', 'cost=', '0.129943216')
Optimization Finished!
('Accuracy:', 0.95630014)

Using Xavier initialization

('Epoch:', '0001', 'cost=', '0.225971402')
('Epoch:', '0002', 'cost=', '0.097365422')
('Epoch:', '0003', 'cost=', '0.077284599')
('Epoch:', '0004', 'cost=', '0.067507274')
('Epoch:', '0005', 'cost=', '0.057601801')
('Epoch:', '0006', 'cost=', '0.054322962')
('Epoch:', '0007', 'cost=', '0.049383517')
('Epoch:', '0008', 'cost=', '0.043121288')
('Epoch:', '0009', 'cost=', '0.040358728')
('Epoch:', '0010', 'cost=', '0.044015236')
('Epoch:', '0011', 'cost=', '0.036450812')
('Epoch:', '0012', 'cost=', '0.039538022')
('Epoch:', '0013', 'cost=', '0.035615588')
('Epoch:', '0014', 'cost=', '0.036466378')
('Epoch:', '0015', 'cost=', '0.032942892')
('Epoch:', '0016', 'cost=', '0.026681046')
('Epoch:', '0017', 'cost=', '0.026492372')
('Epoch:', '0018', 'cost=', '0.034521077')
('Epoch:', '0019', 'cost=', '0.026739863')
('Epoch:', '0020', 'cost=', '0.026734729')
('Epoch:', '0021', 'cost=', '0.025866759')
('Epoch:', '0022', 'cost=', '0.026366988')
('Epoch:', '0023', 'cost=', '0.026712984')
('Epoch:', '0024', 'cost=', '0.025169193')
('Epoch:', '0025', 'cost=', '0.021520539')
Optimization Finished!
('Accuracy:', 0.97410005)

Using deep network & dropout

('Epoch:', '0001', 'cost=', '1.005067178')
('Epoch:', '0002', 'cost=', '0.366801003')
('Epoch:', '0003', 'cost=', '0.273202738')
('Epoch:', '0004', 'cost=', '0.239420350')
('Epoch:', '0005', 'cost=', '0.209810026')
('Epoch:', '0006', 'cost=', '0.190791570')
('Epoch:', '0007', 'cost=', '0.180521833')
('Epoch:', '0008', 'cost=', '0.171061375')
('Epoch:', '0009', 'cost=', '0.157999267')
('Epoch:', '0010', 'cost=', '0.155516946')
('Epoch:', '0011', 'cost=', '0.145057890')
('Epoch:', '0012', 'cost=', '0.138088250')
('Epoch:', '0013', 'cost=', '0.136282067')
('Epoch:', '0014', 'cost=', '0.134121473')
('Epoch:', '0015', 'cost=', '0.127701431')
('Epoch:', '0016', 'cost=', '0.125380460')
('Epoch:', '0017', 'cost=', '0.124652231')
('Epoch:', '0018', 'cost=', '0.118783377')
('Epoch:', '0019', 'cost=', '0.115409234')
('Epoch:', '0020', 'cost=', '0.112414301')
('Epoch:', '0021', 'cost=', '0.113504025')
('Epoch:', '0022', 'cost=', '0.116523423')
('Epoch:', '0023', 'cost=', '0.114034162')
('Epoch:', '0024', 'cost=', '0.110276901')
('Epoch:', '0025', 'cost=', '0.107924964')
('Epoch:', '0026', 'cost=', '0.105793177')
('Epoch:', '0027', 'cost=', '0.104841842')
('Epoch:', '0028', 'cost=', '0.101485511')
('Epoch:', '0029', 'cost=', '0.103147353')
('Epoch:', '0030', 'cost=', '0.103343190')
('Epoch:', '0031', 'cost=', '0.101426056')
('Epoch:', '0032', 'cost=', '0.099283363')
('Epoch:', '0033', 'cost=', '0.095894921')
('Epoch:', '0034', 'cost=', '0.094887954')
('Epoch:', '0035', 'cost=', '0.095635027')
('Epoch:', '0036', 'cost=', '0.092059088')
('Epoch:', '0037', 'cost=', '0.094401296')
('Epoch:', '0038', 'cost=', '0.099322385')
('Epoch:', '0039', 'cost=', '0.090064022')
('Epoch:', '0040', 'cost=', '0.091104117')
('Epoch:', '0041', 'cost=', '0.090519495')
('Epoch:', '0042', 'cost=', '0.090744944')
('Epoch:', '0043', 'cost=', '0.092369648')
('Epoch:', '0044', 'cost=', '0.091910230')
('Epoch:', '0045', 'cost=', '0.089072251')
('Epoch:', '0046', 'cost=', '0.086180910')
('Epoch:', '0047', 'cost=', '0.090007660')
('Epoch:', '0048', 'cost=', '0.086435296')
('Epoch:', '0049', 'cost=', '0.084161491')
('Epoch:', '0050', 'cost=', '0.085827370')
('Epoch:', '0051', 'cost=', '0.087927116')
('Epoch:', '0052', 'cost=', '0.088154783')
('Epoch:', '0053', 'cost=', '0.085632317')
('Epoch:', '0054', 'cost=', '0.083343186')
('Epoch:', '0055', 'cost=', '0.081373467')
('Epoch:', '0056', 'cost=', '0.081659388')
('Epoch:', '0057', 'cost=', '0.083452217')
('Epoch:', '0058', 'cost=', '0.081470791')
('Epoch:', '0059', 'cost=', '0.083780734')
('Epoch:', '0060', 'cost=', '0.082875062')
('Epoch:', '0061', 'cost=', '0.080499905')
('Epoch:', '0062', 'cost=', '0.078778473')
('Epoch:', '0063', 'cost=', '0.073242849')
('Epoch:', '0064', 'cost=', '0.082230817')
('Epoch:', '0065', 'cost=', '0.078000629')
('Epoch:', '0066', 'cost=', '0.076064033')
('Epoch:', '0067', 'cost=', '0.077546981')
('Epoch:', '0068', 'cost=', '0.076293728')
('Epoch:', '0069', 'cost=', '0.074110266')
('Epoch:', '0070', 'cost=', '0.075682669')
('Epoch:', '0071', 'cost=', '0.076795988')
('Epoch:', '0072', 'cost=', '0.072953092')
('Epoch:', '0073', 'cost=', '0.071825345')
('Epoch:', '0074', 'cost=', '0.079160681')
('Epoch:', '0075', 'cost=', '0.070514251')
('Epoch:', '0076', 'cost=', '0.068994399')
('Epoch:', '0077', 'cost=', '0.073053627')
('Epoch:', '0078', 'cost=', '0.071301370')
('Epoch:', '0079', 'cost=', '0.071747935')
('Epoch:', '0080', 'cost=', '0.076470287')
('Epoch:', '0081', 'cost=', '0.071492522')
('Epoch:', '0082', 'cost=', '0.072600477')
('Epoch:', '0083', 'cost=', '0.067160822')
('Epoch:', '0084', 'cost=', '0.073472549')
('Epoch:', '0085', 'cost=', '0.070679407')
('Epoch:', '0086', 'cost=', '0.074640153')
('Epoch:', '0087', 'cost=', '0.074537637')
('Epoch:', '0088', 'cost=', '0.071469474')
('Epoch:', '0089', 'cost=', '0.069155410')
('Epoch:', '0090', 'cost=', '0.071447257')
('Epoch:', '0091', 'cost=', '0.072174879')
('Epoch:', '0092', 'cost=', '0.066736643')
('Epoch:', '0093', 'cost=', '0.069118653')
('Epoch:', '0094', 'cost=', '0.074308159')
('Epoch:', '0095', 'cost=', '0.075896465')
('Epoch:', '0096', 'cost=', '0.075388228')
('Epoch:', '0097', 'cost=', '0.069483076')
('Epoch:', '0098', 'cost=', '0.069940897')
('Epoch:', '0099', 'cost=', '0.068050976')
('Epoch:', '0100', 'cost=', '0.073800711')
Optimization Finished!
('Accuracy:', 0.98310018)


Using CNN

(0, 0.94921875)
(1, 0.97265625)
(2, 0.98046875)
(3, 0.9921875)
(4, 0.9921875)
(5, 0.98828125)
(6, 0.9921875)
(7, 0.98828125)
(8, 0.99609375)
(9, 0.9921875)
(10, 0.9921875)
(11, 1.0)
(12, 0.984375)
(13, 1.0)
(14, 0.9921875)
(15, 0.98828125)
(16, 1.0)
(17, 0.9921875)
(18, 0.99609375)
(19, 0.98828125)
(20, 0.99609375)
(21, 0.99609375)
(22, 0.9921875)
(23, 0.99609375)
(24, 0.984375)
(25, 0.9921875)
(26, 1.0)
(27, 0.98828125)
(28, 0.9921875)
(29, 0.9921875)
(30, 0.9921875)
(31, 1.0)
(32, 0.99609375)
(33, 0.99609375)
(34, 0.98828125)
(35, 0.99609375)
(36, 0.9921875)
(37, 0.9921875)
(38, 0.99609375)
(39, 0.984375)
(40, 0.9921875)
(41, 0.99609375)
(42, 0.99609375)
(43, 0.9921875)
(44, 0.98828125)
(45, 0.9921875)
(46, 1.0)
(47, 0.99609375)
(48, 0.9921875)
(49, 0.99609375)
(50, 0.99609375)
(51, 0.9921875)
(52, 1.0)
(53, 1.0)
(54, 0.9921875)
(55, 1.0)
(56, 0.984375)
(57, 0.9921875)
(58, 1.0)
(59, 0.99609375)
(60, 0.98828125)
(61, 0.99609375)
(62, 1.0)
(63, 0.99609375)
(64, 0.9921875)
(65, 0.984375)
(66, 0.99609375)
(67, 0.984375)
(68, 0.9921875)
(69, 0.984375)
(70, 0.984375)
(71, 0.9921875)
(72, 0.99609375)
(73, 0.9921875)
(74, 0.9921875)
(75, 0.9921875)
(76, 0.9921875)
(77, 0.98828125)
(78, 0.99609375)
(79, 0.99609375)
(80, 0.98828125)
(81, 0.984375)
(82, 0.99609375)
(83, 0.99609375)
(84, 0.9921875)
(85, 0.99609375)
(86, 0.98828125)
(87, 0.99609375)
(88, 0.99609375)
(89, 0.9921875)
(90, 0.9921875)
(91, 0.99609375)
(92, 0.99609375)
(93, 0.9921875)
(94, 0.99609375)
(95, 0.99609375)
(96, 0.99609375)
(97, 1.0)
(98, 0.99609375)
(99, 0.98828125)
